Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Temp Comp Media;
82598;26/08/1961;1200;0;;19.8;;;
82598;27/08/1961;0000;;;;7.3;;
82598;27/08/1961;1200;1.2;;19.7;;;
82598;28/08/1961;0000;;;;9.8;;
82598;28/08/1961;1200;0;;22.7;;;
82598;29/08/1961;0000;;;;10.4;;
82598;29/08/1961;1200;0.6;;21.8;;;
82598;30/08/1961;0000;;;;9;;
82598;30/08/1961;1200;8.8;;20.9;;;
82598;31/08/1961;0000;;;;8;;
82598;31/08/1961;1200;1.9;;20.7;;;
82598;01/09/1961;0000;;29.8;;1.7;24.78;
82598;01/09/1961;1200;3;;20.9;;;
82598;02/09/1961;0000;;27.1;;7.5;24.94;
82598;02/09/1961;1200;0.6;;20.8;;;
82598;03/09/1961;0000;;28.1;;8.4;24.76;
82598;03/09/1961;1200;4.8;;21.1;;;
82598;04/09/1961;0000;;27.1;;7.3;23.82;
82598;04/09/1961;1200;1;;20.1;;;
82598;05/09/1961;0000;;28;;7.7;20.8;
82598;05/09/1961;1200;4;;;;;
82598;06/09/1961;0000;;28.1;;9.9;25.64;
82598;06/09/1961;1200;1.8;;23;;;
82598;07/09/1961;0000;;28.5;;9.6;25.56;
82598;07/09/1961;1200;0;;21.4;;;
82598;08/09/1961;0000;;28.1;;6.5;25.4;
82598;08/09/1961;1200;6;;22.1;;;
82598;09/09/1961;0000;;28.8;;8.4;25.38;
82598;09/09/1961;1200;0;;21.5;;;
82598;10/09/1961;0000;;27.7;;2.7;24.5;
82598;10/09/1961;1200;4;;21.1;;;
82598;11/09/1961;0000;;28.8;;9.9;25.86;
82598;11/09/1961;1200;0;;22.8;;;
82598;12/09/1961;0000;;28.7;;9.1;26.14;
82598;12/09/1961;1200;0;;24;;;
82598;13/09/1961;0000;;28.9;;7.9;26.22;
82598;13/09/1961;1200;0;;24.2;;;
82598;14/09/1961;0000;;28.8;;1;25.64;
82598;14/09/1961;1200;0;;21.7;;;
82598;15/09/1961;0000;;28.7;;8.9;25.72;
82598;15/09/1961;1200;0;;23.3;;;
82598;16/09/1961;0000;;28.7;;6.7;25.02;
82598;16/09/1961;1200;0;;19.2;;;
82598;17/09/1961;0000;;28.8;;8.8;25.86;
82598;17/09/1961;1200;8;;22.9;;;
82598;18/09/1961;0000;;28.9;;9.8;26.06;
82598;18/09/1961;1200;0;;24;;;
82598;19/09/1961;0000;;28.4;;9.1;25;
82598;19/09/1961;1200;0;;19.9;;;
82598;20/09/1961;0000;;28.8;;3.1;25.34;
82598;20/09/1961;1200;0;;22.7;;;
82598;21/09/1961;0000;;29.1;;10.1;25.96;
82598;21/09/1961;1200;0.8;;22.5;;;
82598;22/09/1961;0000;;28.6;;4.8;21.2;
82598;22/09/1961;1200;0;;;;;
82598;23/09/1961;0000;;28.6;;8;25.82;
82598;23/09/1961;1200;3.4;;22.1;;;
82598;24/09/1961;0000;;28.9;;8.3;25.7;
82598;24/09/1961;1200;0;;20.8;;;
82598;25/09/1961;0000;;27.5;;2.9;19.9;
82598;25/09/1961;1200;8;;;;;
82598;26/09/1961;0000;;28.1;;4.4;25.52;
82598;26/09/1961;1200;6.8;;22.1;;;
82598;27/09/1961;0000;;28.5;;4.4;25.76;
82598;27/09/1961;1200;9.2;;22.5;;;
82598;28/09/1961;0000;;28.7;;6;25.84;
82598;28/09/1961;1200;0.9;;23.5;;;
82598;29/09/1961;0000;;28.7;;9.8;26;
82598;29/09/1961;1200;0;;23.4;;;
82598;30/09/1961;0000;;28.8;;8.7;26.4;
82598;30/09/1961;1200;0;;24.3;;;
82598;01/10/1961;0000;;29.1;;7.3;26.44;
82598;01/10/1961;1200;0;;24.5;;;
82598;02/10/1961;0000;;28.4;;9.8;26.34;
82598;02/10/1961;1200;0;;24.5;;;
82598;03/10/1961;0000;;28.1;;9.1;25.78;
82598;03/10/1961;1200;0;;23.4;;;
82598;04/10/1961;0000;;28.7;;10;25.8;
82598;04/10/1961;1200;0;;21.5;;;
82598;05/10/1961;0000;;29.7;;6.7;25.86;
82598;05/10/1961;1200;0.8;;22.2;;;
82598;06/10/1961;0000;;28.3;;8.5;25.08;
82598;06/10/1961;1200;4.4;;21.7;;;
82598;07/10/1961;0000;;28;;8.9;25.16;
82598;07/10/1961;1200;0;;22.6;;;
82598;08/10/1961;0000;;28.9;;10.5;25.56;
82598;08/10/1961;1200;1.4;;20.7;;;
82598;09/10/1961;0000;;29;;9.7;25.64;
82598;09/10/1961;1200;0;;21.7;;;
82598;10/10/1961;0000;;29.1;;9.8;26.42;
82598;10/10/1961;1200;0.4;;23.5;;;
82598;11/10/1961;0000;;29.7;;8.7;21.9;
82598;11/10/1961;1200;0;;;;;
82598;12/10/1961;0000;;29.1;;8.8;26.3;
82598;12/10/1961;1200;0;;24.4;;;
82598;13/10/1961;0000;;28.8;;8.8;25.84;
82598;13/10/1961;1200;4;;22.6;;;
82598;14/10/1961;0000;;29.3;;6.4;21.7;
82598;14/10/1961;1200;0;;;;;
82598;15/10/1961;0000;;29.3;;9.6;25.86;
82598;15/10/1961;1200;0;;20.7;;;
82598;16/10/1961;0000;;29.1;;10.4;25.06;
82598;16/10/1961;1200;0;;19.8;;;
82598;17/10/1961;0000;;28.3;;9.8;25.1;
82598;17/10/1961;1200;5;;19.4;;;
82598;18/10/1961;0000;;28.7;;8.7;24.64;
82598;18/10/1961;1200;0.3;;17.8;;;
82598;19/10/1961;0000;;29.1;;10.7;25.92;
82598;19/10/1961;1200;0;;20.9;;;
82598;20/10/1961;0000;;29.3;;11;25.92;
82598;20/10/1961;1200;0;;21.1;;;
82598;21/10/1961;0000;;29;;10.1;25.78;
82598;21/10/1961;1200;0;;21.3;;;
82598;22/10/1961;0000;;29.1;;10.4;26.1;
82598;22/10/1961;1200;0;;21.7;;;
82598;23/10/1961;0000;;28.7;;6;24.96;
82598;23/10/1961;1200;0.4;;19.9;;;
82598;24/10/1961;0000;;29;;9.1;25.2;
82598;24/10/1961;1200;0;;18.8;;;
82598;25/10/1961;0000;;29;;10.7;25.14;
82598;25/10/1961;1200;0;;18.3;;;
82598;26/10/1961;0000;;29.1;;11;26;
82598;26/10/1961;1200;0;;21.5;;;
82598;27/10/1961;0000;;29.3;;10;26.32;
82598;27/10/1961;1200;0;;21.4;;;
82598;28/10/1961;0000;;29.5;;10.4;26.3;
82598;28/10/1961;1200;0;;21.5;;;
82598;29/10/1961;0000;;29.5;;10.6;25.76;
82598;29/10/1961;1200;5.2;;19.6;;;
82598;30/10/1961;0000;;28.1;;1.7;24.5;
82598;30/10/1961;1200;1.4;;18.7;;;
82598;31/10/1961;0000;;29.1;;10.2;25.38;
82598;31/10/1961;1200;9.7;;18.5;;;
82598;01/11/1961;0000;;29.1;;10.8;25.84;
82598;01/11/1961;1200;0;;20.7;;;
82598;02/11/1961;0000;;29.1;;10.3;25.88;
82598;02/11/1961;1200;0;;21.6;;;
82598;03/11/1961;0000;;28.6;;10.7;25.6;
82598;03/11/1961;1200;0;;21.6;;;
82598;04/11/1961;0000;;28.8;;7.3;25.98;
82598;04/11/1961;1200;0;;22.4;;;
82598;05/11/1961;0000;;29.5;;8.9;26.36;
82598;05/11/1961;1200;0;;22.6;;;
82598;06/11/1961;0000;;29.1;;10.5;26.18;
82598;06/11/1961;1200;0;;22.7;;;
82598;07/11/1961;0000;;29.3;;11.7;26.48;
82598;07/11/1961;1200;0;;23.1;;;
82598;08/11/1961;0000;;29.3;;10.6;25.94;
82598;08/11/1961;1200;0;;21.2;;;
